"","noiseLevel","distinctRunNo","decision","maximumSM","midpoint","slopeParam","maximumDSM","midPoint1Param","slope1Param","slope2Param","midPointDistanceParam","finalAsymptoteIntensityRatio","mAError","finalAsymptoteIntensityRatioValue","maximumDSMValue","slope1ParamValue","midpoint1ParamValue","slope2ParamValue","midPointDistanceParamValue","realInput"
"1",0,1,"double_sigmoidal",NA,NA,NA,9.33428995157419,8.64930669447809,3.01937769507867,5.45654500760505,6.27131301507343,0.602951221683657,1.07338550762804e-08,0.602951235987712,9.33428997008596,3.01937740840646,8.64930665772408,5.45654491707124,6.27131304873943,"double_sigmoidal"
"2",0,2,"double_sigmoidal",NA,NA,NA,9.33428995157416,8.6493066944781,3.01937769507864,5.45654500760225,6.27131301507342,0.602951221683659,1.07338556199855e-08,0.602951235987712,9.33428997008596,3.01937740840646,8.64930665772408,5.45654491707124,6.27131304873943,"double_sigmoidal"
"3",0,3,"double_sigmoidal",NA,NA,NA,9.33428995157419,8.64930669447809,3.01937769507867,5.45654500760501,6.27131301507343,0.602951221683657,1.0733855100501e-08,0.602951235987712,9.33428997008596,3.01937740840646,8.64930665772408,5.45654491707124,6.27131304873943,"double_sigmoidal"
"4",0.15,1,"double_sigmoidal",NA,NA,NA,9.39217101361258,8.55502171444373,2.4305184192639,5.61391485063931,6.48452741377778,0.62382408637687,0.0210871981509426,0.602951235987712,9.33428997008596,3.01937740840646,8.64930665772408,5.45654491707124,6.27131304873943,"double_sigmoidal"
"5",0.15,2,"double_sigmoidal",NA,NA,NA,9.40041081985283,8.66939287944413,2.40601709530726,6,6.19753721676648,0.631699425679725,0.022854334942723,0.602951235987712,9.33428997008596,3.01937740840646,8.64930665772408,5.45654491707124,6.27131304873943,"double_sigmoidal"
"6",0.15,3,"double_sigmoidal",NA,NA,NA,9.56672327097106,8.60092397098701,1.97559693836706,6,6.27199184838113,0.617077580380106,0.0272802396763047,0.602951235987712,9.33428997008596,3.01937740840646,8.64930665772408,5.45654491707124,6.27131304873943,"double_sigmoidal"
"7",0.3,1,"double_sigmoidal",NA,NA,NA,9.24611281018223,8.60629348253634,2.52550119035304,4.28824091240038,6.5671503553306,0.646117144417478,0.0289270335483237,0.602951235987712,9.33428997008596,3.01937740840646,8.64930665772408,5.45654491707124,6.27131304873943,"double_sigmoidal"
"8",0.3,2,"double_sigmoidal",NA,NA,NA,9.23602006479277,8.50761406154858,2.66568177865136,2.87094997755316,6.62408079893352,0.644175897570374,0.0297344724343302,0.602951235987712,9.33428997008596,3.01937740840646,8.64930665772408,5.45654491707124,6.27131304873943,"double_sigmoidal"
"9",0.3,3,"double_sigmoidal",NA,NA,NA,9.58291871599487,8.42860650187155,1.77053773921578,6,6.29318833139775,0.622165491059394,0.0362459297459757,0.602951235987712,9.33428997008596,3.01937740840646,8.64930665772408,5.45654491707124,6.27131304873943,"double_sigmoidal"
"10",0.45,1,"double_sigmoidal",NA,NA,NA,9.49347447716027,8.11201665777993,1.9359116283552,6,7.04917145658448,0.660488121773799,0.0651962900107832,0.602951235987712,9.33428997008596,3.01937740840646,8.64930665772408,5.45654491707124,6.27131304873943,"double_sigmoidal"
