"runCount","noiseLevel","distinctRunNo","decision","maximumSM","midpoint","slopeParam","maximumDSM","midPoint1Param","slope1Param","slope2Param","midPointDistanceParam","finalAsymptoteIntensityRatio","timeChoice","noiseType","maximumSMValue","slopeParamValue","midpointValue","mAError","realInput"
NA,1.5,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"equidistant","additive",19.7133756465977,38.7503052848165,9.98106714896858,NA,"sigmoidal"
NA,1.35,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"equidistant","additive",19.7133756465977,38.7503052848165,9.98106714896858,NA,"sigmoidal"
NA,1.2,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"equidistant","additive",19.7133756465977,38.7503052848165,9.98106714896858,NA,"sigmoidal"
NA,1.05,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"equidistant","additive",19.7133756465977,38.7503052848165,9.98106714896858,NA,"sigmoidal"
NA,0.9,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"equidistant","additive",19.7133756465977,38.7503052848165,9.98106714896858,NA,"sigmoidal"
NA,0.75,1,"sigmoidal",20.2014076981998,9.93737381867523,6,NA,NA,NA,NA,NA,NA,"equidistant","additive",19.7133756465977,38.7503052848165,9.98106714896858,0.0202548637243217,"sigmoidal"
NA,0.6,1,"sigmoidal",20.3806929396403,9.39464140824512,1.67238774419795,NA,NA,NA,NA,NA,NA,"equidistant","additive",19.7133756465977,38.7503052848165,9.98106714896858,0.04954553989371,"sigmoidal"
NA,0.45,1,"sigmoidal",19.1007531952242,9.57246618872141,3.36355340161732,NA,NA,NA,NA,NA,NA,"equidistant","additive",19.7133756465977,38.7503052848165,9.98106714896858,0.0360319599618788,"sigmoidal"
NA,0.3,1,"sigmoidal",19.7513550903654,9.86891828550644,5.96036395231457,NA,NA,NA,NA,NA,NA,"equidistant","additive",19.7133756465977,38.7503052848165,9.98106714896858,0.00386111752083376,"sigmoidal"
NA,0.15,1,"sigmoidal",19.7617475880519,9.87373920239469,6,NA,NA,NA,NA,NA,NA,"equidistant","additive",19.7133756465977,38.7503052848165,9.98106714896858,0.00406474517528293,"sigmoidal"
NA,0,1,"sigmoidal",19.7314293140374,9.89746079647067,6,NA,NA,NA,NA,NA,NA,"equidistant","additive",19.7133756465977,38.7503052848165,9.98106714896858,0.00319225688308323,"sigmoidal"
NA,1.5,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"uniform","additive",5.2117021051934,28.5188147830069,9.78416340239346,NA,"sigmoidal"
NA,1.35,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"uniform","additive",5.2117021051934,28.5188147830069,9.78416340239346,NA,"sigmoidal"
NA,1.2,1,"sigmoidal",5.36220981923739,8.45648331615662,0.671035896195079,NA,NA,NA,NA,NA,NA,"uniform","additive",5.2117021051934,28.5188147830069,9.78416340239346,0.128141238531817,"sigmoidal"
NA,1.05,1,"sigmoidal",5.55673519781519,9.31972190828727,6.08413176621422,NA,NA,NA,NA,NA,NA,"uniform","additive",5.2117021051934,28.5188147830069,9.78416340239346,0.065781026458529,"sigmoidal"
NA,0.9,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"uniform","additive",5.2117021051934,28.5188147830069,9.78416340239346,NA,"sigmoidal"
NA,0.75,1,"sigmoidal",5.12877440137053,9.27268749013372,5.33687347095922,NA,NA,NA,NA,NA,NA,"uniform","additive",5.2117021051934,28.5188147830069,9.78416340239346,0.0361573136980553,"sigmoidal"
NA,0.6,1,"sigmoidal",5.28041664651446,9.37179667188066,6.08413176621422,NA,NA,NA,NA,NA,NA,"uniform","additive",5.2117021051934,28.5188147830069,9.78416340239346,0.0239599688908745,"sigmoidal"
NA,0.45,1,"sigmoidal",5.16626167535737,9.50153503301376,3.99285202906974,NA,NA,NA,NA,NA,NA,"uniform","additive",5.2117021051934,28.5188147830069,9.78416340239346,0.0236118841721052,"sigmoidal"
NA,0.3,1,"sigmoidal",5.11825575739936,9.47100115656363,5.32053160425328,NA,NA,NA,NA,NA,NA,"uniform","additive",5.2117021051934,28.5188147830069,9.78416340239346,0.0243930971531136,"sigmoidal"
NA,0.15,1,"sigmoidal",5.13728514648172,9.57996216783546,6.08413176621422,NA,NA,NA,NA,NA,NA,"uniform","additive",5.2117021051934,28.5188147830069,9.78416340239346,0.0158138035539229,"sigmoidal"
NA,0,1,"sigmoidal",5.22483446159143,9.69097261570102,6.08413176621422,NA,NA,NA,NA,NA,NA,"uniform","additive",5.2117021051934,28.5188147830069,9.78416340239346,0.00607465103846338,"sigmoidal"
NA,1.5,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"beta_0.5_1.5","additive",4.63797833810095,23.5893250272751,16.1922828219831,NA,"sigmoidal"
NA,1.35,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"beta_0.5_1.5","additive",4.63797833810095,23.5893250272751,16.1922828219831,NA,"sigmoidal"
NA,1.2,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"beta_0.5_1.5","additive",4.63797833810095,23.5893250272751,16.1922828219831,NA,"sigmoidal"
NA,1.05,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"beta_0.5_1.5","additive",4.63797833810095,23.5893250272751,16.1922828219831,NA,"sigmoidal"
NA,0.9,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"beta_0.5_1.5","additive",4.63797833810095,23.5893250272751,16.1922828219831,NA,"sigmoidal"
NA,0.75,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"beta_0.5_1.5","additive",4.63797833810095,23.5893250272751,16.1922828219831,NA,"sigmoidal"
NA,0.6,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"beta_0.5_1.5","additive",4.63797833810095,23.5893250272751,16.1922828219831,NA,"sigmoidal"
NA,0.45,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"beta_0.5_1.5","additive",4.63797833810095,23.5893250272751,16.1922828219831,NA,"sigmoidal"
NA,0.3,1,"sigmoidal",4.57123040536483,16.1979102300297,6.67836466241423,NA,NA,NA,NA,NA,NA,"beta_0.5_1.5","additive",4.63797833810095,23.5893250272751,16.1922828219831,0.009263230762246,"sigmoidal"
NA,0.15,1,"sigmoidal",4.65534904742625,16.3659393105418,6.67836466241423,NA,NA,NA,NA,NA,NA,"beta_0.5_1.5","additive",4.63797833810095,23.5893250272751,16.1922828219831,0.00333530498559034,"sigmoidal"
NA,0,1,"sigmoidal",4.65416742678577,16.4357458939858,6.67836466241423,NA,NA,NA,NA,NA,NA,"beta_0.5_1.5","additive",4.63797833810095,23.5893250272751,16.1922828219831,0.00287157009455492,"sigmoidal"
NA,1.5,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"beta_2_2","additive",19.0625738477567,30.4468851498191,18.0074399504811,NA,"sigmoidal"
NA,1.35,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"beta_2_2","additive",19.0625738477567,30.4468851498191,18.0074399504811,NA,"sigmoidal"
NA,1.2,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"beta_2_2","additive",19.0625738477567,30.4468851498191,18.0074399504811,NA,"sigmoidal"
NA,1.05,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"beta_2_2","additive",19.0625738477567,30.4468851498191,18.0074399504811,NA,"sigmoidal"
NA,0.9,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"beta_2_2","additive",19.0625738477567,30.4468851498191,18.0074399504811,NA,"sigmoidal"
NA,0.75,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"beta_2_2","additive",19.0625738477567,30.4468851498191,18.0074399504811,NA,"sigmoidal"
NA,0.6,1,"sigmoidal",18.9412393011605,17.5266596518814,1.22031921029102,NA,NA,NA,NA,NA,NA,"beta_2_2","additive",19.0625738477567,30.4468851498191,18.0074399504811,0.0703990772770412,"sigmoidal"
NA,0.45,1,"sigmoidal",18.9779852915574,17.7506774260886,1.51248745618376,NA,NA,NA,NA,NA,NA,"beta_2_2","additive",19.0625738477567,30.4468851498191,18.0074399504811,0.0490384698490885,"sigmoidal"
NA,0.3,1,"sigmoidal",19.3255126842561,17.9706342671976,1.38485380257632,NA,NA,NA,NA,NA,NA,"beta_2_2","additive",19.0625738477567,30.4468851498191,18.0074399504811,0.0492897082697835,"sigmoidal"
NA,0.15,1,"sigmoidal",19.0371632962163,18.1776765243867,6.46981287791313,NA,NA,NA,NA,NA,NA,"beta_2_2","additive",19.0625738477567,30.4468851498191,18.0074399504811,0.00416651336479128,"sigmoidal"
NA,0,1,"sigmoidal",19.1667980809352,18.1730815729515,6.46981287791313,NA,NA,NA,NA,NA,NA,"beta_2_2","additive",19.0625738477567,30.4468851498191,18.0074399504811,0.00521138041070018,"sigmoidal"
NA,1.5,1,"sigmoidal",10.0478946043304,20.4285523230901,1.47171788798782,NA,NA,NA,NA,NA,NA,"beta_2_0.25","additive",9.99851101115346,20.2911314825877,19.5160155426711,0.0102392587367272,"sigmoidal"
