"runCount","noiseLevel","distinctRunNo","decision","maximumSM","midpoint","slopeParam","maximumDSM","midPoint1Param","slope1Param","slope2Param","midPointDistanceParam","finalAsymptoteIntensityRatio","mAError","timeChoice","noiseType","finalAsymptoteIntensityRatioValue","maximumDSMValue","slope1ParamValue","midpoint1ParamValue","slope2ParamValue","midPointDistanceParamValue","realInput"
NA,0,1,"double_sigmoidal",NA,NA,NA,4.76490818615508,25.8106472211177,6,1.5541064306652,1.2,0.410340224678884,0.00931027684647078,"equidistant","additive",0.420846093969885,4.89323608973064,36.6041506537383,25.9165071633179,1.72057130493154,1.00945513329589,"double_sigmoidal"
NA,0,2,"double_sigmoidal",NA,NA,NA,4.29466793939571,25.7541903113482,6,0.465769330155722,1.2,0.0457341813921046,0.0159832976294666,"equidistant","additive",0.420846093969885,4.89323608973064,36.6041506537383,25.9165071633179,1.72057130493154,1.00945513329589,"double_sigmoidal"
NA,0,3,"double_sigmoidal",NA,NA,NA,4.93476859721502,25.8087455910658,6,2.74891656476936,1.2,0.442285797746119,0.0094678753775827,"equidistant","additive",0.420846093969885,4.89323608973064,36.6041506537383,25.9165071633179,1.72057130493154,1.00945513329589,"double_sigmoidal"
NA,0.2,1,"double_sigmoidal",NA,NA,NA,4.16185732206795,25.6839211199041,6,0.336007562951772,1.2,0.00138876560288913,0.0187972349826868,"equidistant","additive",0.420846093969885,4.89323608973064,36.6041506537383,25.9165071633179,1.72057130493154,1.00945513329589,"double_sigmoidal"
NA,0.2,2,"double_sigmoidal",NA,NA,NA,4.7307427764487,25.7558902490595,5.51661102092665,1.19574721468865,1.2,0.474168951218059,0.0185512337584494,"equidistant","additive",0.420846093969885,4.89323608973064,36.6041506537383,25.9165071633179,1.72057130493154,1.00945513329589,"double_sigmoidal"
NA,0.2,3,"double_sigmoidal",NA,NA,NA,4.58507079441134,25.7989644264234,6,1.45768252073503,1.2,0.434488671510999,0.00866870872318901,"equidistant","additive",0.420846093969885,4.89323608973064,36.6041506537383,25.9165071633179,1.72057130493154,1.00945513329589,"double_sigmoidal"
NA,0.4,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"equidistant","additive",0.420846093969885,4.89323608973064,36.6041506537383,25.9165071633179,1.72057130493154,1.00945513329589,"double_sigmoidal"
NA,0.4,2,"double_sigmoidal",NA,NA,NA,4.56924318078954,25.7405054049683,6,1.20900630038863,1.2,0.528084984651485,0.0189742527479038,"equidistant","additive",0.420846093969885,4.89323608973064,36.6041506537383,25.9165071633179,1.72057130493154,1.00945513329589,"double_sigmoidal"
NA,0.4,3,"double_sigmoidal",NA,NA,NA,4.44461032625432,25.7661270873242,6,0.998101409126809,1.2,0.429709388940472,0.0132431592671899,"equidistant","additive",0.420846093969885,4.89323608973064,36.6041506537383,25.9165071633179,1.72057130493154,1.00945513329589,"double_sigmoidal"
NA,0,1,"double_sigmoidal",NA,NA,NA,3.20028693568189,3.8248236959546,6.02764207252622,6.02764207252622,14.8966292688115,0.682058550197382,0.00241562569626973,"uniform","additive",0.68427986218594,3.19691543374211,8.06033135893429,3.78536532958969,8.49482121118042,14.9412468456065,"double_sigmoidal"
NA,0,2,"double_sigmoidal",NA,NA,NA,3.20028694361339,3.82482369675951,6.02764207252622,6.02764207252622,14.8966291889097,0.682058552219309,0.00241562614333559,"uniform","additive",0.68427986218594,3.19691543374211,8.06033135893429,3.78536532958969,8.49482121118042,14.9412468456065,"double_sigmoidal"
NA,0,3,"double_sigmoidal",NA,NA,NA,3.20028693487523,3.82482369584512,6.02764207252622,6.02764207252622,14.8966292770971,0.682058549978759,0.00241562565374532,"uniform","additive",0.68427986218594,3.19691543374211,8.06033135893429,3.78536532958969,8.49482121118042,14.9412468456065,"double_sigmoidal"
NA,0.2,1,"double_sigmoidal",NA,NA,NA,3.16967311651119,3.96316072344831,4.42387405573986,6.02764207252622,14.8604146698536,0.68568932980393,0.0123491704124918,"uniform","additive",0.68427986218594,3.19691543374211,8.06033135893429,3.78536532958969,8.49482121118042,14.9412468456065,"double_sigmoidal"
NA,0.2,2,"double_sigmoidal",NA,NA,NA,3.15275678278775,3.73939326619558,5.38621972576606,6.02764207252622,15.0254274553916,0.728870000204847,0.0253838110044815,"uniform","additive",0.68427986218594,3.19691543374211,8.06033135893429,3.78536532958969,8.49482121118042,14.9412468456065,"double_sigmoidal"
NA,0.2,3,"double_sigmoidal",NA,NA,NA,3.19690053797281,3.82185814573208,6.02764207252622,6.02764207252622,14.8533712241229,0.705247628069121,0.00967239283305053,"uniform","additive",0.68427986218594,3.19691543374211,8.06033135893429,3.78536532958969,8.49482121118042,14.9412468456065,"double_sigmoidal"
NA,0.4,1,"double_sigmoidal",NA,NA,NA,3.16358496543077,3.66861915872452,5.69077129730916,6.02764207252622,15.0351573157987,0.697383334828572,0.0134543157572859,"uniform","additive",0.68427986218594,3.19691543374211,8.06033135893429,3.78536532958969,8.49482121118042,14.9412468456065,"double_sigmoidal"
NA,0.4,2,"double_sigmoidal",NA,NA,NA,3.19970901194953,3.88672469597259,4.58658297564233,6.02764207252622,14.6794665194097,0.622340776680126,0.0335002609786554,"uniform","additive",0.68427986218594,3.19691543374211,8.06033135893429,3.78536532958969,8.49482121118042,14.9412468456065,"double_sigmoidal"
NA,0.4,3,"double_sigmoidal",NA,NA,NA,3.25725909367996,3.67286398289362,6.02764207252622,1.56769443701223,14.889595331948,0.719988165035154,0.0380030480530229,"uniform","additive",0.68427986218594,3.19691543374211,8.06033135893429,3.78536532958969,8.49482121118042,14.9412468456065,"double_sigmoidal"
NA,0,1,"double_sigmoidal",NA,NA,NA,11.6485978029258,17.1256676935717,6.71570123941803,6.71570123941803,6.55417386479644,0.152015665117221,0.00331710771783734,"beta_0.5_1.5","additive",0.16145920320414,11.5257917802548,23.6066872585935,17.4094392305706,18.7892686160931,6.42814326860092,"double_sigmoidal"
NA,0,2,"double_sigmoidal",NA,NA,NA,11.6485978421693,17.1256677985873,6.71570123941803,6.71570123941803,6.554173750944,0.152015667823843,0.00331710790708636,"beta_0.5_1.5","additive",0.16145920320414,11.5257917802548,23.6066872585935,17.4094392305706,18.7892686160931,6.42814326860092,"double_sigmoidal"
NA,0,3,"double_sigmoidal",NA,NA,NA,11.6485978119881,17.1256677168947,6.71570123941803,6.71570123941803,6.55417383839871,0.152015666991517,0.00331710772578342,"beta_0.5_1.5","additive",0.16145920320414,11.5257917802548,23.6066872585935,17.4094392305706,18.7892686160931,6.42814326860092,"double_sigmoidal"
NA,0.2,1,"double_sigmoidal",NA,NA,NA,11.0898744274351,17.1392165776787,6.71570123941803,6.71570123941803,6.67001234129218,0.208369155984956,0.0113115681663055,"beta_0.5_1.5","additive",0.16145920320414,11.5257917802548,23.6066872585935,17.4094392305706,18.7892686160931,6.42814326860092,"double_sigmoidal"
NA,0.2,2,"double_sigmoidal",NA,NA,NA,11.4554991994138,17.0959690731303,6.71570123941803,6.58929932162808,6.48463457340531,0.242689851109986,0.00768650341343915,"beta_0.5_1.5","additive",0.16145920320414,11.5257917802548,23.6066872585935,17.4094392305706,18.7892686160931,6.42814326860092,"double_sigmoidal"
NA,0.2,3,"double_sigmoidal",NA,NA,NA,11.4347878321434,16.8346709248143,6.71570123941803,6.71570123941803,6.79996910913042,0.221348538124861,0.00884965185669801,"beta_0.5_1.5","additive",0.16145920320414,11.5257917802548,23.6066872585935,17.4094392305706,18.7892686160931,6.42814326860092,"double_sigmoidal"
