"","noiseLevel","distinctRunNo","decision","maximumSM","midpoint","slopeParam","maximumDSM","midPoint1Param","slope1Param","slope2Param","midPointDistanceParam","finalAsymptoteIntensityRatio","mAError","maximumSMValue","slopeParamValue","midpointValue","realInput"
"1",0,1,"sigmoidal",0.794716777880802,16.2788588204573,6,NA,NA,NA,NA,NA,NA,0.00709210346196998,0.792108105076477,36.2205984304424,16.4325830452144,"sigmoidal"
"2",0,2,"sigmoidal",0.794716508480518,16.278849388743,6,NA,NA,NA,NA,NA,NA,0.00709191631913049,0.792108105076477,36.2205984304424,16.4325830452144,"sigmoidal"
"3",0,3,"sigmoidal",0.794716512132926,16.2788495167166,6,NA,NA,NA,NA,NA,NA,0.00709191885664237,0.792108105076477,36.2205984304424,16.4325830452144,"sigmoidal"
"4",0.15,1,"sigmoidal",0.797569447906434,16.2600209211105,6,NA,NA,NA,NA,NA,NA,0.00864078637833663,0.792108105076477,36.2205984304424,16.4325830452144,"sigmoidal"
"5",0.15,2,"sigmoidal",0.785900501933332,16.2831667967976,6,NA,NA,NA,NA,NA,NA,0.00960905930504887,0.792108105076477,36.2205984304424,16.4325830452144,"sigmoidal"
"6",0.15,3,"sigmoidal",0.797289675051425,16.2395743634062,6,NA,NA,NA,NA,NA,NA,0.00848736313403341,0.792108105076477,36.2205984304424,16.4325830452144,"sigmoidal"
"7",0.3,1,"sigmoidal",0.800879932557276,16.1570184898673,6,NA,NA,NA,NA,NA,NA,0.011264228525154,0.792108105076477,36.2205984304424,16.4325830452144,"sigmoidal"
"8",0.3,2,"sigmoidal",0.79260649766691,16.3191905070709,6,NA,NA,NA,NA,NA,NA,0.00618293193418861,0.792108105076477,36.2205984304424,16.4325830452144,"sigmoidal"
"9",0.3,3,"sigmoidal",0.784658805247404,16.2520970591462,6,NA,NA,NA,NA,NA,NA,0.0103208190378501,0.792108105076477,36.2205984304424,16.4325830452144,"sigmoidal"
"10",0.45,1,"sigmoidal",0.841841899113915,16.080148184623,1.34004200884876,NA,NA,NA,NA,NA,NA,0.0584478009912405,0.792108105076477,36.2205984304424,16.4325830452144,"sigmoidal"
"11",0.45,2,"sigmoidal",0.793048408148421,16.3377267333464,6,NA,NA,NA,NA,NA,NA,0.00661643456091594,0.792108105076477,36.2205984304424,16.4325830452144,"sigmoidal"
"12",0.45,3,"sigmoidal",0.800192738599416,15.8556822358371,0.919772858819038,NA,NA,NA,NA,NA,NA,0.0560295912530293,0.792108105076477,36.2205984304424,16.4325830452144,"sigmoidal"
"13",0.6,1,"sigmoidal",0.841251318152008,14.7599843282508,0.246482056513264,NA,NA,NA,NA,NA,NA,0.184997213018876,0.792108105076477,36.2205984304424,16.4325830452144,"sigmoidal"
"14",0.6,2,"sigmoidal",0.815561323909539,14.8993772995542,0.494116445153553,NA,NA,NA,NA,NA,NA,0.109842686475722,0.792108105076477,36.2205984304424,16.4325830452144,"sigmoidal"
"15",0.6,3,"sigmoidal",0.775447036112387,16.2428164008959,6,NA,NA,NA,NA,NA,NA,0.0161624210083124,0.792108105076477,36.2205984304424,16.4325830452144,"sigmoidal"
"16",0.75,1,"sigmoidal",0.794133742356977,16.2362058535286,6,NA,NA,NA,NA,NA,NA,0.00672680467043044,0.792108105076477,36.2205984304424,16.4325830452144,"sigmoidal"
"17",0.75,2,"sigmoidal",0.828077535915063,15.5744251141829,1.14369529056288,NA,NA,NA,NA,NA,NA,0.0627743131728054,0.792108105076477,36.2205984304424,16.4325830452144,"sigmoidal"
"18",0.75,3,"sigmoidal",0.871299367809363,15.0259320770721,0.358068949985744,NA,NA,NA,NA,NA,NA,0.149487577116322,0.792108105076477,36.2205984304424,16.4325830452144,"sigmoidal"
"19",0.9,1,"sigmoidal",1.02268185756246,14.20175203574,0.232282889605315,NA,NA,NA,NA,NA,NA,0.256893188558293,0.792108105076477,36.2205984304424,16.4325830452144,"sigmoidal"
"20",0.9,2,"sigmoidal",0.855620137099909,13.1703202966911,0.21612361797661,NA,NA,NA,NA,NA,NA,0.219193524250085,0.792108105076477,36.2205984304424,16.4325830452144,"sigmoidal"
"21",0.9,3,"sigmoidal",0.812631249363527,13.3846503173723,0.224537312246358,NA,NA,NA,NA,NA,NA,0.214303705060438,0.792108105076477,36.2205984304424,16.4325830452144,"sigmoidal"
"22",1.05,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.792108105076477,36.2205984304424,16.4325830452144,"sigmoidal"
"23",1.05,2,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.792108105076477,36.2205984304424,16.4325830452144,"sigmoidal"
"24",1.05,3,"sigmoidal",0.924613374552463,14.6353311462208,0.243542954956059,NA,NA,NA,NA,NA,NA,0.202794130408881,0.792108105076477,36.2205984304424,16.4325830452144,"sigmoidal"
"25",1.2,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.792108105076477,36.2205984304424,16.4325830452144,"sigmoidal"
"26",1.2,2,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.792108105076477,36.2205984304424,16.4325830452144,"sigmoidal"
"27",1.2,3,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.792108105076477,36.2205984304424,16.4325830452144,"sigmoidal"
"28",1.35,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.792108105076477,36.2205984304424,16.4325830452144,"sigmoidal"
"29",1.35,2,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.792108105076477,36.2205984304424,16.4325830452144,"sigmoidal"
"30",1.35,3,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.792108105076477,36.2205984304424,16.4325830452144,"sigmoidal"
"31",1.5,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.792108105076477,36.2205984304424,16.4325830452144,"sigmoidal"
"32",1.5,2,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.792108105076477,36.2205984304424,16.4325830452144,"sigmoidal"
"33",1.5,3,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.792108105076477,36.2205984304424,16.4325830452144,"sigmoidal"
"34",0,1,"sigmoidal",13.3866198515569,22.5757172820767,6,NA,NA,NA,NA,NA,NA,0.003152797564482,13.3287515315227,23.3867164147876,22.5219525229186,"sigmoidal"
"35",0,2,"sigmoidal",13.3866198539107,22.5757172845146,6,NA,NA,NA,NA,NA,NA,0.00315279755289231,13.3287515315227,23.3867164147876,22.5219525229186,"sigmoidal"
"36",0,3,"sigmoidal",13.3866198581461,22.575717290143,6,NA,NA,NA,NA,NA,NA,0.00315279750408124,13.3287515315227,23.3867164147876,22.5219525229186,"sigmoidal"
"37",0.15,1,"sigmoidal",13.33659976824,22.5802191798139,6,NA,NA,NA,NA,NA,NA,0.00225624936727534,13.3287515315227,23.3867164147876,22.5219525229186,"sigmoidal"
"38",0.15,2,"sigmoidal",13.3728709208242,22.5197583154021,6,NA,NA,NA,NA,NA,NA,0.00428532040530261,13.3287515315227,23.3867164147876,22.5219525229186,"sigmoidal"
"39",0.15,3,"sigmoidal",13.5408082764766,22.5287243688025,6,NA,NA,NA,NA,NA,NA,0.00715242510682568,13.3287515315227,23.3867164147876,22.5219525229186,"sigmoidal"
"40",0.3,1,"sigmoidal",13.8905008170316,22.4849392135413,3.91413086568292,NA,NA,NA,NA,NA,NA,0.0176538907869274,13.3287515315227,23.3867164147876,22.5219525229186,"sigmoidal"
"41",0.3,2,"sigmoidal",13.5526620437175,22.444752040992,6,NA,NA,NA,NA,NA,NA,0.00979430604506582,13.3287515315227,23.3867164147876,22.5219525229186,"sigmoidal"
"42",0.3,3,"sigmoidal",13.3807359227748,22.4420589707511,4.61244655543751,NA,NA,NA,NA,NA,NA,0.00808898385865861,13.3287515315227,23.3867164147876,22.5219525229186,"sigmoidal"
