"runCount","noiseLevel","distinctRunNo","decision","maximumSM","midpoint","slopeParam","maximumDSM","midPoint1Param","slope1Param","slope2Param","midPointDistanceParam","finalAsymptoteIntensityRatio","timeChoice","noiseType","maximumSMValue","slopeParamValue","midpointValue","mAError","realInput"
NA,0.3,1,"sigmoidal",8.9574418110384,16.1962442021992,5.0132457152892,NA,NA,NA,NA,NA,NA,"beta_2_2","additive",8.92283578359056,6.93731144016187,16.2442630212754,0.00738717120939968,"sigmoidal"
NA,0.15,1,"sigmoidal",8.84824300503043,16.2241581087034,5.74817659518072,NA,NA,NA,NA,NA,NA,"beta_2_2","additive",8.92283578359056,6.93731144016187,16.2442630212754,0.00663662311075929,"sigmoidal"
NA,0,1,"sigmoidal",8.92433340789196,16.2491223744333,6.80085117090789,NA,NA,NA,NA,NA,NA,"beta_2_2","additive",8.92283578359056,6.93731144016187,16.2442630212754,0.000181759094321133,"sigmoidal"
NA,1.5,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"beta_2_0.25","additive",2.38887878425885,0.0296067152008512,15.6872244738042,NA,"sigmoidal"
NA,1.35,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"beta_2_0.25","additive",2.38887878425885,0.0296067152008512,15.6872244738042,NA,"sigmoidal"
NA,1.2,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"beta_2_0.25","additive",2.38887878425885,0.0296067152008512,15.6872244738042,NA,"sigmoidal"
NA,1.05,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"beta_2_0.25","additive",2.38887878425885,0.0296067152008512,15.6872244738042,NA,"sigmoidal"
NA,0.9,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"beta_2_0.25","additive",2.38887878425885,0.0296067152008512,15.6872244738042,NA,"sigmoidal"
NA,0.75,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"beta_2_0.25","additive",2.38887878425885,0.0296067152008512,15.6872244738042,NA,"sigmoidal"
NA,0.6,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"beta_2_0.25","additive",2.38887878425885,0.0296067152008512,15.6872244738042,NA,"sigmoidal"
NA,0.45,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"beta_2_0.25","additive",2.38887878425885,0.0296067152008512,15.6872244738042,NA,"sigmoidal"
NA,0.3,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"beta_2_0.25","additive",2.38887878425885,0.0296067152008512,15.6872244738042,NA,"sigmoidal"
NA,0.15,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"beta_2_0.25","additive",2.38887878425885,0.0296067152008512,15.6872244738042,NA,"sigmoidal"
NA,0,1,"sigmoidal",1.50771795125659,23.723876599426,0.231652999652197,NA,NA,NA,NA,NA,NA,"beta_2_0.25","additive",2.38887878425885,0.0296067152008512,15.6872244738042,0.273815615061437,"sigmoidal"
NA,1.5,1,"sigmoidal",13.3352136878448,19.5742523933059,6,NA,NA,NA,NA,NA,NA,"equidistant","multiplicative",13.750365133537,6.71865046229972,19.8242467436939,0.0188375482219886,"sigmoidal"
