"true_model","noise_type","time_sampling","noise_parameter","distinct_model_parameters","distinct_runs","run_no","n_samples","t_min","t_max","maximum_SM","slope_param_SM","midpoint_SM","final_asymptoteIntensity_ratio_DSM","maximum_DSM","slope1_param_DSM","midpoint1_param_DSM","slope2_param_DSM","midPoint_distance_param_DSM","p_predicted_model","p_maximum_SM","p_midpoint_SM","p_slope_param_SM","p_AIC","p_mean_absolute_error","p_final_asymptoteIntensity_ratio_DSM","p_maximum_DSM","p_slope1_param_DSM","p_midpoint1_param_DSM","p_slope2_param_DSM","p_midPoint_distance_param_DSM","p_error"
"SM","additive","equidistant",0,19,1,19,55,3,30,"9.33722790230531","123.720725676466","12.5878076702356",NA,NA,NA,NA,NA,NA,"sigmoidal","9.37179944198207","12.7512402743209","6","-205.547711019324","0.00914571281211266",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0,20,1,20,55,3,30,"7.530352834519","9.76842024982214","20.7808096893132",NA,NA,NA,NA,NA,NA,"sigmoidal","7.55871076632593","20.7690018844723","6","-271.211292964163","0.00507265721350297",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0,21,1,21,55,3,30,"6.67940299280453","1.10730669701554","10.7066907752305",NA,NA,NA,NA,NA,NA,"sigmoidal","6.67935480411395","10.7072038473095","1.10783037325692","-872.550269836505","2.93957810484771e-05",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0,22,1,22,55,3,30,"18.4512948384508","0.838441266995016","19.3517269883305",NA,NA,NA,NA,NA,NA,"sigmoidal","18.4512923669371","19.3517304855167","0.838443694724366","-1388.97890950086","2.10150130797084e-07",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0,23,1,23,55,3,30,"8.42736626416445","1.79015619592914","11.2326610162854",NA,NA,NA,NA,NA,NA,"sigmoidal","8.42736619104926","11.2326616681029","1.79015788758223","-1537.00898680868","3.72532366337167e-08",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0,24,1,24,55,3,30,"16.4957846661797","2.39442634243119","4.84271222166717",NA,NA,NA,NA,NA,NA,"sigmoidal","16.4937949749009","4.85724011413526","2.45743040518103","-525.533763791054","0.000776475498516148",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0,25,1,25,55,3,30,"1.28961995441932","0.838688560557223","6.69148736447096",NA,NA,NA,NA,NA,NA,"sigmoidal","1.28818427547072","6.83070407112316","0.90812224170296","-385.460304138451","0.00624438736366626",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0,26,1,26,55,3,30,"3.22720426989254","4.80080344234782","3.68954212591052",NA,NA,NA,NA,NA,NA,"sigmoidal","3.22687228746647","3.71120860740441","5.09289018934076","-452.441170959492","0.000956359802298559",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0,27,1,27,55,3,30,"5.89874893720262","0.885245166038314","10.2351579274982",NA,NA,NA,NA,NA,NA,"sigmoidal","5.89830609609118","10.2404731497368","0.888732512713254","-655.624500742811","0.000299743565676182",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0,28,1,28,55,3,30,"18.5766664417228","11.0140139569566","17.2703152298927",NA,NA,NA,NA,NA,NA,"sigmoidal","18.6387532264431","17.2606032253749","6","-250.135981574133","0.00616740691000638",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0,29,1,29,55,3,30,"12.2909288280876","7.70418985391185","3.67100825719535",NA,NA,NA,NA,NA,NA,"sigmoidal","12.3023857553974","3.68935385625192","6","-345.598027413096","0.00280580150483546",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0,30,1,30,55,3,30,"6.26368124468718","1.77745716037016","18.1207152251154",NA,NA,NA,NA,NA,NA,"sigmoidal","6.26368124468668","18.1207152251189","1.77745716037928","-2832.29255263861","1.99414863712089e-13",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0,31,1,31,55,3,30,"18.7654960581101","1.29092471819537","9.38364286534488",NA,NA,NA,NA,NA,NA,"sigmoidal","18.7653560948038","9.38423770894775","1.29173572029146","-851.397013444484","3.4016546225855e-05",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0,32,1,32,55,3,30,"4.65446289614774","4.00144297350889","16.6963311173022",NA,NA,NA,NA,NA,NA,"sigmoidal","4.65446289614774","16.6963311173022","4.00144297350889","-3896.02657565903","2.06417277917789e-17",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0,33,1,33,55,3,30,"1.84031908977777","1.76647031522175","24.820425465703",NA,NA,NA,NA,NA,NA,"sigmoidal","1.84031908977777","24.820425465703","1.76647031522175","-3845.20204127986","2.04209887767576e-18",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0,34,1,34,55,3,30,"16.5928136613453","11.0321242288389","22.6675497181714",NA,NA,NA,NA,NA,NA,"sigmoidal","16.7003992112371","22.7098265677197","6","-265.451626051897","0.00555248597439819",NA,NA,NA,NA,NA,NA,NA
